time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-07-08 09:30:00-04:00,MLTrader,8440855bda78441fa621cc793e5b3ce6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,8440855bda78441fa621cc793e5b3ce6,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,129.0,0.0
2022-07-15 09:30:00-04:00,MLTrader,81b904bf608f4307af4d8886c7a66204,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,4cd465de429349a18bdd44669c5b98e1,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,ae50f1bb62734b4c92b3729d586ec379,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,149733c40b984f15aaf46caaba4602bb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,ae50f1bb62734b4c92b3729d586ec379,SPY,sell,market,fill,1,day,0.0,1,stock,382.54998779296875,129.0,0.0
2022-07-15 09:30:00-04:00,MLTrader,149733c40b984f15aaf46caaba4602bb,SPY,sell,market,fill,1,gtc,0.0,1,stock,382.54998779296875,65.0,0.0
2022-07-27 09:30:00-04:00,MLTrader,ff467f5d2b5e44fc9e149a92e31a87ec,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-27 09:30:00-04:00,MLTrader,8eba5e45eac642f9a976f8c316d0918d,SPY,buy,stop,fill,1,day,0.0,1,stock,401.6774871826172,65.0,0.0
2022-09-07 09:30:00-04:00,MLTrader,2a04752f3bde436084342daac469a489,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-07 09:30:00-04:00,MLTrader,2a04752f3bde436084342daac469a489,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.42999267578125,126.0,0.0
2022-09-08 09:30:00-04:00,MLTrader,4c9a97aa79234a118e8d0c18b2cc8610,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,da4d017ccc04473695bf292715db1ee1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,a6982a37de94472d8d07d5b6caf9f24e,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,48cca838f51f4c9faa2924179fc93f07,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,a6982a37de94472d8d07d5b6caf9f24e,SPY,buy,market,fill,1,day,0.0,1,stock,395.3900146484375,126.0,0.0
2022-09-08 09:30:00-04:00,MLTrader,48cca838f51f4c9faa2924179fc93f07,SPY,buy,market,fill,1,gtc,0.0,1,stock,395.3900146484375,186.0,0.0
2022-09-12 09:30:00-04:00,MLTrader,853da68c0e874ff9ba05af00f3b27647,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 09:30:00-04:00,MLTrader,853da68c0e874ff9ba05af00f3b27647,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.7799987792969,29.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,7c9dcb17036a4211a8744a7aa11523eb,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,13b93e6aa9b849e89ba75e0ee698e426,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,c0aef79d480148789c9de0bd0dc46daf,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,f27a04fea06347b896a4c191ca978049,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,3d9e9205fa524fa39066fcd6189aa520,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,d890990fb4cd45b094541eccc6959e9b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,3d9e9205fa524fa39066fcd6189aa520,SPY,sell,market,fill,1,day,0.0,1,stock,384.1400146484375,215.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,d890990fb4cd45b094541eccc6959e9b,SPY,sell,market,fill,1,gtc,0.0,1,stock,384.1400146484375,16.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,9961f17d9a404dadbe1c1d2aa0518bda,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,9961f17d9a404dadbe1c1d2aa0518bda,SPY,sell,market,fill,1,gtc,0.0,1,stock,368.0199890136719,137.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,38c807f1ec1a406e91dc601ed97b9bea,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,38c807f1ec1a406e91dc601ed97b9bea,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,208.0,0.0
2022-10-25 09:30:00-04:00,MLTrader,d41c7f3c3a664df3b182515af37150cb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-25 09:30:00-04:00,MLTrader,4782c4d8806a4850b8224838370fb68a,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,208.0,0.0
2022-10-26 09:30:00-04:00,MLTrader,1c589667fd09444aaf4abe2fcb56314e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-26 09:30:00-04:00,MLTrader,8c8189ab07514bf9a969607cda64797c,SPY,buy,stop,fill,1,day,0.0,1,stock,386.4209884643555,137.0,0.0
2022-11-30 09:30:00-05:00,MLTrader,016ecc67d06f48358fa654c598d04b33,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-11-30 09:30:00-05:00,MLTrader,96f3680b9f0242eb8897a76cfd952505,SPY,buy,stop,fill,1,day,0.0,1,stock,403.3470153808594,16.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,f9e570e3e2144b73818d6685342e7d6d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,f9e570e3e2144b73818d6685342e7d6d,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,113.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,b73d586f51934e9eac0a8d50cc79bea7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,6501a4d318de45168b05089d2690608b,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,113.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,7d984de7fbe0455a8bc62e46d3bb5c73,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,7d984de7fbe0455a8bc62e46d3bb5c73,SPY,sell,market,fill,1,gtc,0.0,1,stock,406.6099853515625,106.0,0.0
2023-06-02 09:30:00-04:00,MLTrader,f3e9255c55e446fd83e8ef812076e206,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-02 09:30:00-04:00,MLTrader,be2a49a1e89d4fd9abf616c5862dbb46,SPY,buy,stop,fill,1,day,0.0,1,stock,426.94048461914065,106.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,3702c8d0074c4705ab268ec6e6e06a63,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,3702c8d0074c4705ab268ec6e6e06a63,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,98.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,805acbc9c2ba453b87ce37b746c94928,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,f86fa9cbc22c4868870e1405f0395f42,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,41d80177d1644c45bedaffc14d1de52d,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,8d9db70ac9d7400c8ebb25fab1e6e2c9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,41d80177d1644c45bedaffc14d1de52d,SPY,sell,market,fill,1,day,0.0,1,stock,430.9200134277344,98.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,8d9db70ac9d7400c8ebb25fab1e6e2c9,SPY,sell,market,fill,1,gtc,0.0,1,stock,430.9200134277344,49.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,d27f4abec0354e54b31b1af72e62d2f5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,d27f4abec0354e54b31b1af72e62d2f5,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,121.0,0.0
2023-07-18 09:30:00-04:00,MLTrader,69a431bd014a4767ba6a7a5e4922f2ee,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-18 09:30:00-04:00,MLTrader,99aeadb9c9fc438f9d4721c1d4703530,SPY,buy,stop,fill,1,day,0.0,1,stock,452.46601409912114,49.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,c4d0fa7c57234ce98df30178199333eb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,57dcd25cb88c4d0f80a6a98a8d8ba920,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,121.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,887f2358549041a6b249ee50fdd226fe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,887f2358549041a6b249ee50fdd226fe,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,88.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,92ed0362e3414108b493aa92c2dee30d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,92ed0362e3414108b493aa92c2dee30d,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,136.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,6cdb873283784568b0148020ae5dd15a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,6cdb873283784568b0148020ae5dd15a,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,207.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,3217af1ff9c043c4881a57926788aac9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,3217af1ff9c043c4881a57926788aac9,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,305.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,f2e780577b514a92855e63cca197760c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,f2e780577b514a92855e63cca197760c,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,476.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,d224e9a6c1e547d385fd697009c7bbcd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,d224e9a6c1e547d385fd697009c7bbcd,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,693.0,0.0
2023-11-14 09:30:00-05:00,MLTrader,47b3b08fa1b64092859e280baa2300c7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,70fbd441a60c4bc8adef1202b775d98d,SPY,buy,stop,fill,1,day,0.0,1,stock,447.9089859008789,476.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,831f68e40c9246d88ace182b26641400,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,155afc3d9cb54b57b1fa7ab27149ee5e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,7f13a35baf15441493934a16397ade19,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f7c6af15cb3d4f88ab9070743413d63f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c4de98557ac3475d8d794086633c9572,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,823a6c6259014c249a80c9c64df4b8f2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,0a3a17deca53454dbd6f891ded34d60c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,eee5c80c04b84daab1122be151bfda06,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,1f0bd941b8d44056b0b2aaefde98880b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,3401d4a3f6d749edb93309064f308812,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,2ef21c111c5b45888a90271400ebbddf,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f2dd1d0bc4804d16a4d8b965bd623fe7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,2ef21c111c5b45888a90271400ebbddf,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,1429.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,f2dd1d0bc4804d16a4d8b965bd623fe7,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,779.0,0.0
2024-06-12 09:30:00-04:00,MLTrader,f7c302b76f0345baa393b27fb3df235f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-12 09:30:00-04:00,MLTrader,c2dcd0dc070d467a965af280d2bb7c05,SPY,sell,limit,fill,1,day,0.0,1,stock,541.6300048828125,779.0,0.0
2024-06-14 09:30:00-04:00,MLTrader,933806a43bdd4165938939a9034bf3ea,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,933806a43bdd4165938939a9034bf3ea,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,123.0,0.0
